k,ER,A1,B1,R1
0.01,0.01,-0.083451,0.072904,0.87125
0.02,0.01,-0.1669,0.14581,0.87125
0.03,0.01,-0.25035,0.21871,0.87125
0.04,0.01,-0.3338,0.29161,0.87125
0.05,0.01,-0.41726,0.36452,0.87125
0.075,0.01,-0.62588,0.54678,0.87125
0.1,0.01,-0.83451,0.72904,0.87125
0.2,0.01,-1.669,1.4581,0.87125
0.3,0.01,-2.5043,2.1874,0.87123
0.5,0.01,-4.9373,3.95,0.85253
0.01,0.02,-0.064845,0.063108,0.89874
0.02,0.02,-0.12968,0.12622,0.89869
0.03,0.02,-0.19452,0.18933,0.89869
0.04,0.02,-0.25938,0.25243,0.89874
0.05,0.02,-0.32423,0.31554,0.89874
0.075,0.02,-0.48634,0.47331,0.89874
0.1,0.02,-0.64845,0.63108,0.89874
0.2,0.02,-1.2969,1.2622,0.89874
0.3,0.02,-1.9343,1.8911,0.89793
0.5,0.02,-3.4872,3.2521,0.89146
0.01,0.03,-0.05357,0.056897,0.92099
0.02,0.03,-0.10738,0.114,0.91984
0.03,0.03,-0.16107,0.171,0.91984
0.04,0.03,-0.21427,0.22759,0.92099
0.05,0.03,-0.26784,0.28448,0.92099
0.075,0.03,-0.40177,0.42672,0.92099
0.1,0.03,-0.5357,0.56897,0.92099
0.2,0.03,-1.0738,1.14,0.91984
0.3,0.03,-1.6107,1.71,0.91984
0.5,0.03,-2.7568,2.8784,0.91746
0.01,0.04,-0.03781,0.048993,0.95166
0.02,0.04,-0.07307,0.096981,0.95523
0.03,0.04,-0.11692,0.1485,0.94794
0.04,0.04,-0.16268,0.20057,0.94337
0.05,0.04,-0.18905,0.24497,0.95166
0.075,0.04,-0.28358,0.36745,0.95166
0.1,0.04,-0.38197,0.49159,0.95074
0.2,0.04,-0.75621,0.97986,0.95166
0.3,0.04,-1.1842,1.4898,0.94755
0.5,0.04,-2.2398,2.5978,0.93723
0.01,0.05,-0.0081306,0.036197,0.99995
0.02,0.05,-0.016262,0.072394,0.99995
0.03,0.05,-0.024393,0.10859,0.99995
0.04,0.05,-0.032524,0.14479,0.99995
0.05,0.05,-0.040655,0.18098,0.99995
0.075,0.05,-0.060983,0.27148,0.99995
0.1,0.05,-0.081306,0.36197,0.99995
0.2,0.05,-0.16262,0.72394,0.99995
0.3,0.05,-0.24393,1.0859,0.99995
0.5,0.05,-0.40654,1.8098,0.99995
0.01,0.075,-0.0077126,0.034438,0.99995
0.02,0.075,-0.015428,0.068878,0.99995
0.03,0.075,-0.023139,0.10332,0.99995
0.04,0.075,-0.030855,0.13776,0.99995
0.05,0.075,-0.038565,0.17219,0.99995
0.075,0.075,-0.057849,0.25829,0.99995
0.1,0.075,-0.077126,0.34438,0.99995
0.2,0.075,-0.15428,0.68878,0.99995
0.3,0.075,-0.23139,1.0332,0.99995
0.5,0.075,-0.38565,1.7219,0.99995
0.01,0.1,-0.0074656,0.033068,0.99995
0.02,0.1,-0.01493,0.066136,0.99995
0.03,0.1,-0.022396,0.099204,0.99995
0.04,0.1,-0.02986,0.13227,0.99995
0.05,0.1,-0.037323,0.16534,0.99995
0.075,0.1,-0.055991,0.24801,0.99995
0.1,0.1,-0.074656,0.33068,0.99995
0.2,0.1,-0.1493,0.66136,0.99995
0.3,0.1,-0.22396,0.99204,0.99995
0.5,0.1,-0.37323,1.6534,0.99995
0.01,0.25,-0.0069191,0.027567,0.99996
0.02,0.25,-0.013839,0.055134,0.99996
0.03,0.25,-0.020759,0.082701,0.99996
0.04,0.25,-0.027678,0.11027,0.99996
0.05,0.25,-0.034598,0.13784,0.99996
0.075,0.25,-0.051896,0.20675,0.99996
0.1,0.25,-0.069191,0.27567,0.99996
0.2,0.25,-0.13839,0.55134,0.99996
0.3,0.25,-0.20759,0.82701,0.99996
0.5,0.25,-0.34598,1.3784,0.99996
0.01,0.5,-0.007121,0.021084,0.99996
0.02,0.5,-0.014244,0.042168,0.99996
0.03,0.5,-0.021366,0.063252,0.99996
0.04,0.5,-0.028488,0.084336,0.99996
0.05,0.5,-0.035611,0.10542,0.99996
0.075,0.5,-0.053418,0.15813,0.99996
0.1,0.5,-0.071198,0.21083,0.99996
0.2,0.5,-0.14244,0.42168,0.99996
0.3,0.5,-0.21365,0.63252,0.99996
0.5,0.5,-0.35611,1.0542,0.99996
