A,W,k,ER,ER1,ER2,T,T',MT
300,25,0.1,0.04,0.79028,0.050615,0.63828,0.56607,1.2043
300,20,0.1,0.04,0.81259,0.049225,0.71127,0.6435,1.3548
300,30,0.1,0.04,0.77013,0.051939,0.58441,0.50847,1.0929
300,35,0.1,0.04,0.75152,0.053225,0.5428,0.46329,1.0061
300,40,0.1,0.04,0.73421,0.05448,0.50929,0.42659,0.93588
100,25,0.1,0.04,0.63598,0.062895,0.37866,0.2803,0.65896
100,20,0.1,0.04,0.67421,0.059329,0.42038,0.32765,0.74803
100,30,0.1,0.04,0.60189,0.066458,0.34779,0.24498,0.59278
100,35,0.1,0.04,0.57106,0.070046,0.32371,0.21733,0.54104
100,40,0.1,0.04,0.54298,0.073667,0.30415,0.19498,0.49914
200,25,0.1,0.04,0.74272,0.053856,0.52522,0.44405,0.96926
200,20,0.1,0.04,0.77009,0.051942,0.58452,0.50843,1.093
200,30,0.1,0.04,0.71802,0.055709,0.48147,0.39604,0.87752
200,35,0.1,0.04,0.69529,0.05753,0.44764,0.35831,0.80596
200,40,0.1,0.04,0.67421,0.059329,0.42038,0.32764,0.74803
400,25,0.1,0.04,0.81858,0.048865,0.73398,0.66742,1.4014
400,20,0.1,0.04,0.83786,0.04774,0.81851,0.75592,1.5744
400,30,0.1,0.04,0.80113,0.04993,0.6717,0.60164,1.2733
400,35,0.1,0.04,0.78507,0.050951,0.62334,0.5502,1.1735
400,40,0.1,0.04,0.77009,0.051942,0.58452,0.50843,1.093
500,25,0.1,0.04,0.83786,0.04774,0.81851,0.75592,1.5744
500,20,0.1,0.04,0.85508,0.046779,0.91321,0.85424,1.7674
500,30,0.1,0.04,0.82228,0.048646,0.74873,0.68293,1.4317
500,35,0.1,0.04,0.80801,0.049504,0.69426,0.62615,1.3204
500,40,0.1,0.04,0.79455,0.050343,0.65102,0.57965,1.2307
150,35,0.1,0.04,0.64822,0.061708,0.39106,0.29445,0.68551
